dataview-body,dataview-body href,dataview-body (2),dataview-body href (2),dataview-body (3),red href,dataview-body href (4),green,green (2),green (3),green (4),dataview-body (6),dataview-body (7),green (5),green (6),red (2),red (3),red (4),red (5),green (7),green (8),red (6),red (7),green (9),green (10)
138,https://quote.eastmoney.com/unify/r/0.002366,002366,https://data.eastmoney.com/stockdata/002366.html,融发核电,https://data.eastmoney.com/zjlx/002366.html,"https://guba.eastmoney.com/list,002366.html",3.36,-1.47%,-525.36万,-16.02%,,,-51.55万,-1.57%,15.76万,0.48%,509.60万,15.54%,-473.81万,-14.45%,,,,
139,https://quote.eastmoney.com/unify/r/0.300092,300092,https://data.eastmoney.com/stockdata/300092.html,科新机电,https://data.eastmoney.com/zjlx/300092.html,"https://guba.eastmoney.com/list,300092.html",10.17,-2.77%,-531.92万,-10.88%,0.00,0.00%,-531.92万,-10.88%,114.94万,2.35%,416.98万,8.53%,,,,,,
140,https://quote.eastmoney.com/unify/r/0.002935,002935,https://data.eastmoney.com/stockdata/002935.html,天奥电子,https://data.eastmoney.com/zjlx/002935.html,"https://guba.eastmoney.com/list,002935.html",11.24,-2.18%,-536.92万,-14.95%,,,-662.68万,-18.45%,125.76万,3.50%,94.65万,2.64%,,,442.27万,12.31%,,
141,https://quote.eastmoney.com/unify/r/1.600131,600131,https://data.eastmoney.com/stockdata/600131.html,国网信通,https://data.eastmoney.com/zjlx/600131.html,"https://guba.eastmoney.com/list,600131.html",15.66,-2.73%,-547.59万,-2.65%,,,-838.68万,-4.05%,291.10万,1.41%,3048.38万,14.73%,-2500.79万,-12.08%,,,,
142,https://quote.eastmoney.com/unify/r/1.600353,600353,https://data.eastmoney.com/stockdata/600353.html,旭光电子,https://data.eastmoney.com/zjlx/600353.html,"https://guba.eastmoney.com/list,600353.html",6.05,-1.47%,-628.85万,-15.87%,,,-55.45万,-1.40%,192.11万,4.85%,436.74万,11.02%,-573.40万,-14.47%,,,,
143,https://quote.eastmoney.com/unify/r/0.002253,002253,https://data.eastmoney.com/stockdata/002253.html,川大智胜,https://data.eastmoney.com/zjlx/002253.html,"https://guba.eastmoney.com/list,002253.html",10.77,-4.44%,-634.18万,-3.91%,0.00%,,-1230.00,-634.06万,867.10万,5.34%,,,-3.91%,-232.91万,,,-1.44%,
144,https://quote.eastmoney.com/unify/r/0.000628,000628,https://data.eastmoney.com/stockdata/000628.html,高新发展,https://data.eastmoney.com/zjlx/000628.html,"https://guba.eastmoney.com/list,000628.html",42.57,-1.62%,-634.19万,-1.21%,,,-1474.95万,-2.82%,840.76万,1.61%,1600.54万,3.07%,-966.36万,-1.85%,,,,
145,https://quote.eastmoney.com/unify/r/1.603679,603679,https://data.eastmoney.com/stockdata/603679.html,华体科技,https://data.eastmoney.com/zjlx/603679.html,"https://guba.eastmoney.com/list,603679.html",12.37,-5.43%,-683.05万,-3.48%,,,-69.98万,-0.36%,1703.06万,8.68%,,,-613.07万,-3.13%,,,-1020.02万,-5.20%
146,https://quote.eastmoney.com/unify/r/0.002268,002268,https://data.eastmoney.com/stockdata/002268.html,电科网安,https://data.eastmoney.com/zjlx/002268.html,"https://guba.eastmoney.com/list,002268.html",13.92,-2.04%,-792.87万,-8.95%,,,-369.36万,-4.17%,502.18万,5.67%,290.69万,3.28%,-423.50万,-4.78%,,,,
147,https://quote.eastmoney.com/unify/r/1.600644,600644,https://data.eastmoney.com/stockdata/600644.html,乐山电力,https://data.eastmoney.com/zjlx/600644.html,"https://guba.eastmoney.com/list,600644.html",6.69,-3.60%,-818.16万,-8.11%,,,-947.79万,-9.40%,129.62万,1.28%,54.97万,0.54%,,,763.19万,7.57%,,
148,https://quote.eastmoney.com/unify/r/1.603327,603327,https://data.eastmoney.com/stockdata/603327.html,福蓉科技,https://data.eastmoney.com/zjlx/603327.html,"https://guba.eastmoney.com/list,603327.html",12.80,-2.14%,-848.24万,-5.61%,,,-379.23万,-2.51%,1549.59万,10.25%,,,-469.01万,-3.10%,,,-701.35万,-4.64%
149,https://quote.eastmoney.com/unify/r/0.002246,002246,https://data.eastmoney.com/stockdata/002246.html,北化股份,https://data.eastmoney.com/zjlx/002246.html,"https://guba.eastmoney.com/list,002246.html",8.35,-2.79%,-856.89万,-9.66%,,,-322.52万,-3.63%,1442.07万,16.25%,,,-534.37万,-6.02%,,,-585.19万,-6.59%
150,https://quote.eastmoney.com/unify/r/1.688311,688311,https://data.eastmoney.com/stockdata/688311.html,盟升电子,https://data.eastmoney.com/zjlx/688311.html,"https://guba.eastmoney.com/list,688311.html",18.68,-4.11%,-875.08万,-13.06%,,,-308.41万,-4.60%,1135.43万,16.95%,,,-566.67万,-8.46%,,,-260.35万,-3.89%
